sweep_type,param_value,injection_rate,vcs_per_vnet,router_latency,link_width_bits,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
sweep_router_latency,4,0.01,4,4,128,6296,6285,1000.0,16171.042164,17171.042164,17.171042164,5.266508,0.0098203125,2.28655
sweep_router_latency,4,0.03,4,4,128,19095,19061,1000.0,16168.878863,17168.878863,17.168878863000003,5.262263,0.0297828125,6.9271
sweep_router_latency,4,0.05,4,4,128,32008,31957,1000.0,16138.936696,17138.936696,17.138936696000002,5.247019,0.0499328125,11.5915
sweep_router_latency,4,0.08,4,4,128,51059,50972,1000.0,16165.777289,17165.777289,17.165777289,5.251138,0.07964375,18.50055
sweep_router_latency,4,0.1,4,4,128,64013,63898,1000.0,16192.603837,17192.603837,17.192603837,5.256096,0.099840625,23.20685
sweep_router_latency,4,0.15,4,4,128,95936,95770,1000.005221,16207.601545,17207.606766,17.207606766,5.242257,0.149640625,34.7144
sweep_router_latency,4,0.2,4,4,128,127958,127746,1000.023484,16313.238771,17313.262255,17.313262255,5.251914,0.199603125,46.3657
sweep_router_latency,4,0.25,4,4,128,159997,159721,1000.313046,16444.359226,17444.672272,17.444672272,5.251639,0.2495640625,57.97175
sweep_router_latency,4,0.3,4,4,128,191786,191442,1000.820092,16677.502847,17678.322939,17.678322939,5.250969,0.299128125,69.4836
sweep_router_latency,4,0.35,4,4,128,223583,223203,1007.791114,17129.583832,18137.374946,18.137374946,5.243872,0.3487546875,80.91895
sweep_router_latency,4,0.4,4,4,128,255673,255194,1527.614286,18653.097252,20180.711537,20.180711537,5.248419,0.398740625,92.58625
sweep_router_latency,4,0.45,4,4,128,274257,273607,200330.247399,24204.210784,224534.458183,224.534458183,5.202144,0.4275109375,98.6447
sweep_router_latency,4,0.5,4,4,128,273906,273145,553921.290889,25886.292995,579807.583884,579.807583884,5.13081,0.4267890625,97.5177
