config_name,vcs_per_vnet,wormhole_enabled,traffic_pattern,injection_rate,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.15,23925,23919,1483.674067,2994.66951,4478.343576,4.478343576,1.49467,0.14949375,4.18005
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.18,28701,28693,1654.236225,2993.36075,4647.596975,4.647596975000001,1.493361,0.17933125,5.01255
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.2,31903,31894,1789.255032,2994.701198,4783.95623,4.783956229999999,1.494701,0.1993375,5.5739
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.25,39975,39967,2319.050717,2996.959992,5316.010709,5.316010709,1.49696,0.24979375,6.989
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.3,48044,48029,3359.74099,2998.990193,6358.731183,6.358731183,1.49899,0.30018125,8.4043
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.35,55896,55878,6365.143706,3000.769534,9365.91324,9.36591324,1.50077,0.3492375,9.78265
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.4,63201,63177,62682.091584,3001.606597,65683.698181,65.683698181,1.501607,0.39485625,11.06325
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.45,63958,63934,540176.087841,2999.890512,543175.978353,543.175978353,1.499891,0.3995875,11.19025
"VC=1, Depth=16 (Wormhole)",1,True,tornado,0.5,63982,63959,980115.073719,2999.914007,983114.987727,983.1149877270001,1.499914,0.39974375,11.1945
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.01,1556,1556,1019.922879,3965.29563,4985.218509,4.985218509,2.462082,0.009725,0.34715
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.03,4777,4774,1066.820276,4001.989946,5068.810222,5.068810222,2.493297,0.0298375,1.07295
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.05,8031,8026,1119.299776,3993.832544,5113.13232,5.11313232,2.477573,0.0501625,1.7977
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.08,12776,12771,1200.610759,4011.275546,5211.886305,5.211886305,2.487981,0.07981875,2.86645
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.1,15977,15970,1275.046963,4028.678773,5303.725736,5.3037257360000005,2.502567,0.0998125,3.5962
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.12,19153,19146,1328.867649,4026.794108,5355.661757,5.355661757,2.495143,0.1196625,4.30415
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.15,23833,23820,1466.162888,4044.22754,5510.390428,5.510390428,2.506507,0.148875,5.36905
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.18,28621,28603,1626.420306,4052.127399,5678.547705,5.678547705,2.508478,0.17876875,6.44985
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.2,31805,31789,1765.060241,4044.732455,5809.792696,5.809792696000001,2.499292,0.19868125,7.1537
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.25,39971,39950,2264.418023,4054.28035,6318.698373,6.318698373,2.496871,0.2496875,8.9851
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.3,47957,47934,3322.96491,4063.848208,7386.813118,7.386813118,2.496349,0.2995875,10.77955
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.35,55726,55705,6076.59097,4080.971188,10157.562158,10.157562158000001,2.503528,0.34815625,12.54615
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.4,63089,63057,55717.80294,4081.180519,59798.983459,59.798983459000006,2.49996,0.39410625,14.19195
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.45,63779,63751,551697.683174,4070.030274,555767.713448,555.767713448,2.491898,0.39844375,14.32195
"VC=1, Depth=16 (Wormhole)",1,True,uniform_random,0.5,63812,63777,981596.374869,4082.874704,985679.249573,985.679249573,2.502783,0.39860625,14.3631
"VC=16, Depth=1",16,False,tornado,0.01,1552,1552,1000.0,2990.979381,3990.979381,3.9909793810000003,1.490979,0.0097,0.2709
"VC=16, Depth=1",16,False,tornado,0.03,4787,4785,1000.0,3004.493208,4004.493208,4.0044932079999995,1.504493,0.02990625,0.8386
"VC=16, Depth=1",16,False,tornado,0.05,8052,8050,1000.0,2988.944099,3988.944099,3.988944099,1.488944,0.0503125,1.40445
"VC=16, Depth=1",16,False,tornado,0.08,12766,12761,1000.0,2986.638978,3986.638978,3.9866389779999998,1.486639,0.07975625,2.2252
"VC=16, Depth=1",16,False,tornado,0.1,15978,15973,1000.0,2986.070244,3986.070244,3.986070244,1.48607,0.09983125,2.7847
"VC=16, Depth=1",16,False,tornado,0.12,19153,19147,1000.0,2988.327153,3988.327153,3.988327153,1.488327,0.11966875,3.34035
"VC=16, Depth=1",16,False,tornado,0.15,23925,23919,1000.0,2994.66951,3994.66951,3.99466951,1.49467,0.14949375,4.18025
"VC=16, Depth=1",16,False,tornado,0.18,28701,28694,1000.0,2993.343556,3993.343556,3.9933435559999997,1.493344,0.1793375,5.0128
"VC=16, Depth=1",16,False,tornado,0.2,31903,31895,1000.0,2994.685687,3994.685687,3.994685687,1.494686,0.19934375,5.5742
"VC=16, Depth=1",16,False,tornado,0.25,39978,39969,1000.0,2996.935125,3996.935125,3.996935125,1.496935,0.24980625,6.9896
"VC=16, Depth=1",16,False,tornado,0.3,48051,48038,1000.0,2999.021608,3999.021608,3.999021608,1.499022,0.3002375,8.4059
"VC=16, Depth=1",16,False,tornado,0.35,55929,55910,1000.0,3000.626006,4000.626006,4.000626006,1.500626,0.3494375,9.78835
"VC=16, Depth=1",16,False,tornado,0.4,63832,63812,1000.0,3000.564157,4000.564157,4.0005641569999995,1.500564,0.398825,11.1713
"VC=16, Depth=1",16,False,tornado,0.45,71789,71767,1000.0,2998.864381,3998.864381,3.9988643809999997,1.498864,0.44854375,12.55765
"VC=16, Depth=1",16,False,tornado,0.5,79723,79698,1000.0,2998.782905,3998.782905,3.998782905,1.498783,0.4981125,13.9453
"VC=16, Depth=1",16,False,uniform_random,0.01,1556,1556,1000.0,3965.29563,4965.29563,4.96529563,2.462082,0.009725,0.34715
"VC=16, Depth=1",16,False,uniform_random,0.03,4777,4774,1000.0,4003.979891,5003.979891,5.003979891,2.493297,0.0298375,1.07295
"VC=16, Depth=1",16,False,uniform_random,0.05,8031,8026,1000.0,3997.632694,4997.632694,4.997632694,2.477573,0.0501625,1.7977
"VC=16, Depth=1",16,False,uniform_random,0.08,12776,12771,1000.0,4017.069924,5017.069924,5.017069924,2.487981,0.07981875,2.86645
"VC=16, Depth=1",16,False,uniform_random,0.1,15977,15970,1000.0,4038.134001,5038.134001,5.038134001,2.502567,0.0998125,3.5963
"VC=16, Depth=1",16,False,uniform_random,0.12,19153,19146,1000.0,4039.903896,5039.903896,5.039903896,2.495143,0.1196625,4.30415
"VC=16, Depth=1",16,False,uniform_random,0.15,23833,23820,1000.0,4061.922754,5061.922754,5.061922754,2.506507,0.148875,5.36935
"VC=16, Depth=1",16,False,uniform_random,0.18,28624,28605,1000.0,4074.777137,5074.777137,5.074777137,2.508512,0.17878125,6.45065
"VC=16, Depth=1",16,False,uniform_random,0.2,31808,31789,1000.0,4070.873573,5070.873573,5.070873573,2.499292,0.19868125,7.1542
"VC=16, Depth=1",16,False,uniform_random,0.25,39977,39957,1000.0,4088.695347,5088.695347,5.088695347,2.496809,0.24973125,8.9869
"VC=16, Depth=1",16,False,uniform_random,0.3,47961,47941,1000.0,4107.569721,5107.569721,5.107569721,2.496423,0.29963125,10.78095
"VC=16, Depth=1",16,False,uniform_random,0.35,55753,55725,1000.0,4135.495738,5135.495738,5.1354957379999995,2.50358,0.34828125,12.5522
"VC=16, Depth=1",16,False,uniform_random,0.4,63612,63583,1000.0,4150.220971,5150.220971,5.1502209709999995,2.499363,0.39739375,14.30755
"VC=16, Depth=1",16,False,uniform_random,0.45,71627,71591,1000.0,4161.745191,5161.745191,5.161745191,2.490774,0.44744375,16.08055
"VC=16, Depth=1",16,False,uniform_random,0.5,79488,79455,1000.0,4190.327859,5190.327859,5.190327859,2.496394,0.49659375,17.8675
