traffic_pattern,injection_rate,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
tornado,0.24,153519,153431,1000.0,5422.571058,6422.571058,6.422571058000001,3.750917,0.2397359375,44.13475
tornado,0.26,166282,166182,1000.0,5442.827743,6442.827743,6.442827743,3.751164,0.259659375,47.80465
tornado,0.28,179054,178946,1000.0,5465.249293,6465.249293,6.465249293,3.750405,0.279603125,51.4694
tornado,0.3,191893,191775,1000.010429,5489.850085,6489.860514,6.489860514,3.750849,0.2996484375,55.1643
tornado,0.35,223939,223804,1000.017873,5567.704331,6567.722203,6.567722203000001,3.749861,0.34969375,64.3655
tornado,0.4,255883,255726,1000.17597,5698.536715,6698.712685,6.698712685,3.749106,0.399571875,73.5364
tornado,0.45,287831,287653,1011.093227,5990.026177,7001.119404,7.001119404,3.749243,0.4494578125,82.7186
tornado,0.5,319588,319352,2260.55575,7238.672374,9499.228124,9.499228124,3.748754,0.4989875,91.82875
transpose,0.01,6305,6300,1000.0,6818.412698,7818.412698,7.818412698,5.309841,0.00984375,2.3035
transpose,0.03,19105,19092,1000.0,6800.701865,7800.701865,7.800701865,5.273727,0.02983125,6.94635
transpose,0.05,32024,32002,1000.0,6804.902819,7804.902819,7.804902819,5.260546,0.050003125,11.6238
transpose,0.08,51118,51085,1000.0,6819.614368,7819.614368,7.819614368,5.246863,0.0798203125,18.51965
transpose,0.1,63921,63881,1000.0,6834.309106,7834.309106,7.834309106,5.240776,0.0998140625,23.1387
transpose,0.12,76703,76651,1000.0,6854.613769,7854.613769,7.854613768999999,5.238392,0.1197671875,27.75505
transpose,0.14,89518,89459,1000.0,6871.248281,7871.248281,7.871248281,5.230866,0.1397796875,32.35885
transpose,0.16,102302,102232,1000.0,6909.852101,7909.852101,7.909852101,5.238438,0.1597375,37.0189
transpose,0.18,115179,115095,1000.0,6948.142839,7948.142839,7.948142839,5.240019,0.1798359375,41.68775
transpose,0.2,127977,127884,1000.0,7004.871602,8004.871602,8.004871602,5.248663,0.19981875,46.3741
transpose,0.22,140772,140669,1000.0,7067.868542,8067.868542,8.067868542,5.24724,0.2197953125,51.0001
transpose,0.24,153519,153412,1000.035851,7158.863062,8158.898913,8.158898913,5.243384,0.23970625,55.58835
transpose,0.26,166282,166157,1001.185626,7348.850786,8350.036411,8.350036411,5.244666,0.2596203125,60.21855
transpose,0.28,179054,178913,1346.458893,8100.875845,9447.334738,9.447334738,5.242839,0.2795515625,64.82515
transpose,0.3,190135,189947,42169.028729,9322.247785,51491.276514,51.491276514,5.17219,0.2967921875,68.1562
transpose,0.35,212927,212691,138177.807241,10766.583918,148944.391159,148.944391159,4.87795,0.3323296875,73.18565
transpose,0.4,231916,231622,196261.190647,11700.458074,207961.648721,207.96164872100002,4.56499,0.361909375,76.0742
transpose,0.45,246244,245938,316744.746643,11843.499175,328588.245818,328.588245818,4.272394,0.384278125,77.17505
transpose,0.5,259972,259634,343953.838865,12458.803547,356412.642412,356.41264241199997,4.015037,0.405678125,78.13095
uniform_random,0.01,6296,6290,1000.0,6779.0938,7779.0938,7.7790938,5.269952,0.009828125,2.28795
uniform_random,0.03,19095,19076,1000.0,6790.522122,7790.522122,7.7905221220000005,5.262843,0.02980625,6.9321
uniform_random,0.05,32008,31988,1000.0,6791.796924,7791.796924,7.791796924,5.248468,0.04998125,11.59735
uniform_random,0.08,51059,51031,1000.0,6822.647018,7822.647018,7.822647018,5.252631,0.0797359375,18.51135
uniform_random,0.1,64013,63963,1000.0,6846.075075,7846.075075,7.846075075,5.257102,0.0999421875,23.22005
uniform_random,0.12,76805,76749,1000.0,6848.011049,7848.011049,7.848011049,5.242804,0.1199203125,27.80715
uniform_random,0.14,89470,89400,1000.0,6866.683445,7866.683445,7.866683445,5.240817,0.1396875,32.3829
uniform_random,0.16,102212,102142,1000.0,6904.226469,7904.226469,7.904226469,5.261029,0.159596875,37.09795
uniform_random,0.18,115178,115093,1000.0,6915.928858,7915.928858,7.915928858,5.254194,0.1798328125,41.7644
uniform_random,0.2,127958,127869,1000.0,6934.788729,7934.788729,7.934788729,5.253001,0.1997953125,46.3938
uniform_random,0.22,140800,140686,1000.0,6943.508949,7943.508949,7.943508949,5.239754,0.219821875,50.95135
uniform_random,0.24,153674,153569,1000.0,6970.078597,7970.078597,7.970078597,5.246371,0.2399515625,55.66395
uniform_random,0.26,166439,166336,1000.0,6990.906959,7990.906959,7.990906959,5.246387,0.2599,60.28655
uniform_random,0.28,179082,178955,1000.0,7023.883099,8023.883099,8.023883098999999,5.254282,0.2796171875,64.938
uniform_random,0.3,191786,191639,1000.0,7046.603249,8046.603249,8.046603249,5.252423,0.2994359375,69.52475
uniform_random,0.35,223583,223401,1000.0,7105.084579,8105.084579,8.105084579,5.244815,0.3490640625,80.96445
uniform_random,0.4,255673,255470,1000.0,7200.890516,8200.890516,8.200890516,5.24963,0.399171875,92.64975
uniform_random,0.45,287555,287325,1000.0,7305.269294,8305.269294,8.305269294,5.248732,0.4489453125,104.1893
uniform_random,0.5,319562,319304,1000.040714,7449.743818,8449.784531,8.449784530999999,5.243307,0.4989125,115.69725
