topology,traffic_pattern,injection_rate,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
Ring,neighbor,0.1,15978,15973,1000.0,2986.070244,3986.070244,3.986070244,1.48607,0.09983125,2.7847
Ring,neighbor,0.12,19153,19147,1000.0,2988.327153,3988.327153,3.988327153,1.488327,0.11966875,3.34035
Ring,neighbor,0.15,23925,23919,1000.0,2994.66951,3994.66951,3.99466951,1.49467,0.14949375,4.18025
Ring,neighbor,0.18,28701,28694,1000.0,2993.343556,3993.343556,3.9933435559999997,1.493344,0.1793375,5.0128
Ring,neighbor,0.2,31903,31895,1000.0,2994.685687,3994.685687,3.994685687,1.494686,0.19934375,5.5742
Ring,neighbor,0.25,39978,39969,1000.0,2996.935125,3996.935125,3.996935125,1.496935,0.24980625,6.9896
Ring,neighbor,0.3,48051,48038,1000.0,2999.021608,3999.021608,3.999021608,1.499022,0.3002375,8.4059
Ring,neighbor,0.35,55929,55910,1000.0,3000.626006,4000.626006,4.000626006,1.500626,0.3494375,9.78835
Ring,neighbor,0.4,63832,63812,1000.0,3000.564157,4000.564157,4.0005641569999995,1.500564,0.398825,11.1713
Ring,neighbor,0.45,71789,71767,1000.0,2998.864381,3998.864381,3.9988643809999997,1.498864,0.44854375,12.55765
Ring,neighbor,0.5,79723,79698,1000.0,2998.782905,3998.782905,3.998782905,1.498783,0.4981125,13.9453
Ring,shuffle,0.01,1552,1549,1000.0,5041.639768,6041.639768,6.041639768,3.537121,0.00968125,0.4296
Ring,shuffle,0.03,4787,4782,1000.0,5018.61146,6018.61146,6.01861146,3.501882,0.0298875,1.3164
Ring,shuffle,0.05,8052,8047,1000.0,4990.928296,5990.928296,5.990928296,3.463278,0.05029375,2.19905
Ring,shuffle,0.08,12766,12757,1000.0,5013.286823,6013.286823,6.0132868230000005,3.468527,0.07973125,3.4898
Ring,shuffle,0.1,15978,15969,1000.0,5033.596343,6033.596343,6.033596343,3.478427,0.09980625,4.37595
Ring,shuffle,0.12,19153,19143,1000.0,5061.66745,6061.66745,6.06166745,3.494437,0.11964375,5.261
Ring,shuffle,0.15,23925,23913,1000.0,5079.726509,6079.726509,6.079726509,3.493957,0.14945625,6.57135
Ring,shuffle,0.18,28701,28686,1000.0,5091.752074,6091.752074,6.091752074,3.486788,0.1792875,7.87295
Ring,shuffle,0.2,31903,31887,1000.0,5109.135384,6109.135384,6.109135384,3.489729,0.19929375,8.7559
Ring,shuffle,0.25,39978,39960,1000.0,5161.486486,6161.486486,6.161486485999999,3.500275,0.24975,10.99325
Ring,shuffle,0.3,48051,48029,1000.0,5224.520602,6224.520602,6.224520601999999,3.50811,0.30018125,13.2316
Ring,shuffle,0.35,55929,55899,1000.017889,5309.540421,6309.558311,6.309558311,3.503533,0.34936875,15.38755
Ring,shuffle,0.4,63832,63798,1001.41854,5488.847613,6490.266153,6.490266152999999,3.502241,0.3987375,17.55775
Ring,shuffle,0.45,71789,71732,1071.836837,6138.327385,7210.164222,7.210164222,3.500209,0.448325,19.7357
Ring,shuffle,0.5,76852,76764,154066.144286,9916.575478,163982.719764,163.982719764,3.52393,0.479775,21.2134
Ring,tornado,0.01,1552,1552,1000.0,2990.979381,3990.979381,3.9909793810000003,1.490979,0.0097,0.2709
Ring,tornado,0.03,4787,4785,1000.0,3004.493208,4004.493208,4.0044932079999995,1.504493,0.02990625,0.8386
Ring,tornado,0.05,8052,8050,1000.0,2988.944099,3988.944099,3.988944099,1.488944,0.0503125,1.40445
Ring,tornado,0.08,12766,12761,1000.0,2986.638978,3986.638978,3.9866389779999998,1.486639,0.07975625,2.2252
